,date,UNH,overlap,JNJ,PFE,TMO,ABT,ABBV,LLY,DHR,MRK,MDT
0,2017-01-17,47.0,1.0,14.0,24.0,24.0,71.0,3.0,28.0,37.0,9.0,59.0
1,2017-01-18,39.0,1.0,14.0,35.0,10.0,75.0,3.0,57.0,44.0,16.0,60.0
2,2017-01-19,44.0,1.0,21.0,25.0,9.0,57.0,9.0,40.0,38.0,13.0,52.0
3,2017-01-20,50.0,1.0,20.0,28.0,16.0,65.0,7.0,67.0,42.0,19.0,73.0
4,2017-01-21,37.0,1.0,4.0,10.0,12.0,69.0,1.0,30.0,27.0,15.0,24.0
5,2017-01-22,32.0,1.0,7.0,9.0,10.0,67.0,7.0,33.0,22.0,7.0,28.0
6,2017-01-23,60.0,1.0,13.0,42.0,16.0,74.0,5.0,17.0,38.0,13.0,53.0
7,2017-01-24,45.0,1.0,32.0,29.0,10.0,88.0,3.0,41.0,29.0,20.0,59.0
8,2017-01-25,59.0,1.0,20.0,27.0,23.0,66.0,7.0,25.0,54.0,17.0,46.0
9,2017-01-26,54.0,1.0,26.0,24.0,22.0,70.0,12.0,49.0,46.0,17.0,44.0
10,2017-01-27,51.0,1.0,14.0,31.0,13.0,68.0,11.0,55.0,37.0,8.0,41.0
11,2017-01-28,44.0,1.0,9.0,16.0,8.0,62.0,1.0,25.0,12.0,7.0,26.0
12,2017-01-29,40.0,1.0,4.0,11.0,13.0,70.0,1.0,26.0,29.0,4.0,20.0
13,2017-01-30,59.0,1.0,14.0,31.0,23.0,67.0,6.0,79.0,44.0,12.0,53.0
14,2017-01-31,41.0,1.0,17.0,34.0,14.0,54.0,7.0,59.0,23.0,20.0,50.0
15,2017-02-01,68.0,1.0,17.0,36.0,20.0,67.0,15.0,26.0,38.0,8.0,83.0
16,2017-02-02,58.0,1.0,29.0,36.0,13.0,58.0,4.0,57.0,37.0,23.0,50.0
17,2017-02-03,47.0,1.0,20.0,33.0,13.0,49.0,6.0,42.0,50.0,12.0,39.0
18,2017-02-04,30.0,1.0,9.0,10.0,16.0,77.0,2.0,38.0,13.0,9.0,37.0
19,2017-02-05,12.0,1.0,9.0,6.0,12.0,60.0,4.0,33.0,19.0,11.0,33.0
