,Date, Open, High, Low, Close
37,11/06/19,1083.83,1089.91,1089.91,1089.91
38,11/05/19,1093.93,1083.84,1083.84,1083.84
39,11/04/19,1097.48,1093.62,1093.62,1093.62
40,11/01/19,1095.73,1097.41,1097.41,1097.41
41,10/31/19,1096.85,1095.58,1095.58,1095.58
42,10/30/19,1088.59,1097.02,1097.02,1097.02
43,10/29/19,1075.94,1088.55,1088.55,1088.55
44,10/28/19,1065.02,1076.07,1076.07,1076.07
45,10/25/19,1062.98,1065.01,1065.01,1065.01
46,10/24/19,1069.78,1062.95,1062.95,1062.95
47,10/23/19,1062.4,1069.33,1069.33,1069.33
48,10/22/19,1061.08,1062.67,1062.67,1062.67
49,10/21/19,1061.62,1060.84,1060.84,1060.84
50,10/18/19,1065.21,1061.63,1061.63,1061.63
51,10/17/19,1057.22,1065.21,1065.21,1065.21
52,10/16/19,1058.47,1057.2,1057.2,1057.2
53,10/15/19,1040.18,1058.45,1058.45,1058.45
54,10/14/19,1040.56,1040.14,1040.14,1040.14
55,10/11/19,1031.74,1040.49,1040.49,1040.49
56,10/10/19,1026.95,1032.22,1032.22,1032.22
57,10/09/19,1019.98,1026.94,1026.94,1026.94
58,10/08/19,1038.94,1019.95,1019.95,1019.95
59,10/07/19,1043.43,1038.97,1038.97,1038.97
60,10/04/19,1027.16,1043.45,1043.45,1043.45
61,10/03/19,1017.35,1027.12,1027.12,1027.12
62,10/02/19,1033.26,1017.63,1017.63,1017.63
63,10/01/19,1043.36,1033.33,1033.33,1033.33
64,09/30/19,1034.1,1043.37,1043.37,1043.37
65,09/27/19,1038.42,1034.11,1034.11,1034.11
66,09/26/19,1044.78,1038.47,1038.47,1038.47
67,09/25/19,1050.1,1045.04,1045.04,1045.04
68,09/24/19,1059.7,1050.1,1050.1,1050.1
69,09/23/19,1066.18,1059.7,1059.7,1059.7
70,09/20/19,1059.78,1066.2,1066.2,1066.2
71,09/19/19,1054.96,1059.81,1059.81,1059.81
72,09/18/19,1054.8,1054.84,1054.84,1054.84
73,09/17/19,1053.26,1054.78,1054.78,1054.78
74,09/16/19,1055.6,1053.26,1053.26,1053.26
75,09/13/19,1055.69,1055.71,1055.71,1055.71
76,09/12/19,1057.58,1056.44,1056.44,1056.44
77,09/11/19,1047.14,1057.71,1057.71,1057.71
78,09/10/19,1044.04,1047.12,1047.12,1047.12
79,09/09/19,1053.66,1044.07,1044.07,1044.07
80,09/06/19,1050.43,1053.74,1053.74,1053.74
81,09/05/19,1040.51,1050.46,1050.46,1050.46
82,09/04/19,1040.23,1040.31,1040.31,1040.31
83,09/03/19,1046.52,1040.16,1040.16,1040.16
84,08/30/19,1044.3,1046.74,1046.74,1046.74
85,08/29/19,1037.25,1045.0,1045.0,1045.0
86,08/28/19,1029.72,1037.01,1037.01,1037.01
87,08/27/19,1035.62,1029.73,1029.73,1029.73
88,08/26/19,1024.68,1035.41,1035.41,1035.41
89,08/23/19,1049.73,1025.47,1025.47,1025.47
90,08/22/19,1054.99,1049.81,1049.81,1049.81
91,08/21/19,1047.17,1054.96,1054.96,1054.96
92,08/20/19,1056.14,1047.12,1047.12,1047.12
93,08/19/19,1045.91,1056.18,1056.18,1056.18
94,08/16/19,1033.5,1045.86,1045.86,1045.86
95,08/15/19,1029.94,1033.52,1033.52,1033.52
96,08/14/19,1059.24,1029.94,1029.94,1029.94
97,08/13/19,1046.47,1059.98,1059.98,1059.98
98,08/12/19,1056.96,1046.29,1046.29,1046.49
99,08/09/19,1055.18,1057.12,1057.12,1057.12
100,08/08/19,1040.96,1055.21,1055.21,1055.21
101,08/07/19,1041.01,1040.86,1040.86,1040.86
102,08/06/19,1028.16,1041.18,1041.18,1041.18
103,08/05/19,1052.63,1028.13,1028.13,1028.13
104,08/02/19,1055.07,1052.76,1052.76,1052.76
105,08/01/19,1053.41,1055.1,1055.1,1055.1
106,07/31/19,1064.48,1054.04,1054.04,1054.04
107,07/30/19,1069.12,1064.57,1064.57,1064.57
108,07/29/19,1064.84,1069.15,1069.15,1069.15
109,07/26/19,1060.47,1064.81,1064.81,1064.81
110,07/25/19,1066.11,1060.39,1060.39,1060.39
111,07/24/19,1065.77,1066.28,1066.28,1066.28
112,07/23/19,1059.4,1065.93,1065.93,1065.93
113,07/22/19,1061.05,1059.39,1059.39,1059.39
114,07/19/19,1072.53,1061.01,1061.01,1061.01
115,07/18/19,1066.59,1072.41,1072.41,1072.41
116,07/17/19,1066.37,1066.6,1066.6,1066.6
117,07/16/19,1071.8,1066.4,1066.4,1066.4
118,07/15/19,1069.55,1071.79,1071.79,1071.79
119,07/12/19,1081.65,1069.57,1069.57,1069.57
120,07/11/19,1082.18,1082.31,1082.31,1082.31
121,07/10/19,1078.32,1082.1,1082.1,1082.1
122,07/09/19,1076.83,1078.19,1078.19,1078.19
123,07/08/19,1085.03,1077.0,1077.0,1077.0
124,07/05/19,1092.79,1085.09,1085.09,1085.09
125,07/03/19,1083.12,1093.05,1093.05,1093.05
126,07/02/19,1078.6,1083.21,1083.21,1083.21
127,07/01/19,1072.48,1078.6,1078.6,1078.6
128,06/28/19,1068.49,1072.47,1072.47,1072.47
129,06/27/19,1061.79,1068.53,1068.53,1068.53
130,06/26/19,1075.33,1061.9,1061.9,1061.9
131,06/25/19,1079.63,1075.31,1075.31,1075.31
132,06/24/19,1085.14,1079.74,1079.74,1079.75
133,06/21/19,1080.5,1085.15,1085.15,1085.15
134,06/20/19,1076.3,1080.43,1080.43,1080.43
135,06/19/19,1065.89,1076.1,1076.1,1076.1
136,06/18/19,1057.21,1065.9,1065.9,1065.9
137,06/17/19,1052.26,1057.19,1057.19,1057.19
138,06/14/19,1054.62,1052.28,1052.28,1052.28
139,06/13/19,1056.33,1055.35,1055.35,1055.35
140,06/12/19,1051.11,1056.56,1056.56,1056.56
141,06/11/19,1053.89,1051.17,1051.17,1051.17
142,06/10/19,1050.58,1053.78,1053.78,1053.78
143,06/07/19,1037.31,1050.52,1050.52,1050.52
144,06/06/19,1033.91,1037.29,1037.29,1037.29
145,06/05/19,1027.24,1034.02,1034.02,1034.02
146,06/04/19,1010.25,1027.09,1027.09,1027.09
147,06/03/19,1006.94,1010.07,1010.07,1010.07
148,05/31/19,1014.87,1007.0,1007.0,1007.0
149,05/30/19,1009.68,1014.93,1014.93,1014.93
150,05/29/19,1019.33,1009.65,1009.65,1009.65
151,05/28/19,1034.02,1019.38,1019.38,1019.38
152,05/24/19,1032.04,1033.95,1033.95,1033.95
153,05/23/19,1036.32,1032.68,1032.68,1032.68
154,05/22/19,1029.91,1036.5,1036.5,1036.5
155,05/21/19,1021.58,1029.96,1029.96,1029.96
156,05/20/19,1021.71,1021.56,1021.56,1021.56
157,05/17/19,1023.59,1021.94,1021.94,1021.94
158,05/16/19,1015.73,1023.65,1023.65,1023.65
159,05/15/19,1013.25,1016.01,1016.01,1016.01
160,05/14/19,1009.16,1013.28,1013.28,1013.28
161,05/13/19,1026.64,1009.16,1009.16,1009.16
162,05/10/19,1027.81,1027.08,1027.08,1027.08
163,05/09/19,1029.01,1027.78,1027.78,1027.78
164,05/08/19,1028.7,1029.92,1029.92,1029.92
165,05/07/19,1048.99,1028.7,1028.7,1028.7
166,05/06/19,1042.65,1049.13,1049.13,1049.13
167,05/03/19,1035.21,1043.06,1043.06,1043.06
168,05/02/19,1030.27,1035.18,1035.18,1035.18
169,05/01/19,1033.34,1030.29,1030.29,1030.29
170,04/30/19,1027.9,1033.35,1033.35,1033.35
171,04/29/19,1030.02,1027.85,1027.85,1027.85
172,04/26/19,1020.4,1030.02,1030.02,1030.02
173,04/25/19,1008.99,1020.19,1020.19,1020.19
174,04/24/19,1010.25,1008.77,1008.77,1008.77
175,04/23/19,994.45,1010.15,1010.15,1010.15
176,04/22/19,993.37,994.29,994.29,994.29
177,04/18/19,992.23,993.64,993.64,993.64
178,04/17/19,1021.91,992.27,992.27,992.27
179,04/16/19,1043.23,1021.77,1021.77,1021.77
180,04/15/19,1039.31,1042.89,1042.89,1042.89
